Rk,Player,WAR,From,To,Age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,WAR,WAA,oWAR,dWAR,Rbat,Rdp,Rbaser,Rbaser + Rdp,Rfield,Pos,Team,Player-additional
33,Ronald Acuña Jr.,26.5,2018,2024,20-26,693,3125,2703,564,790,476,141,11,162,408,189,47,354,688,0.292,0.382,0.532,0.915,141,1439,38,50,0,15,17,26.5,17.1,25.8,-1.1,164,-1,21,20,10,*987DH,ATL,acunaro01
34,Matt Olson,29.3,2016,2024,22-30,919,3880,3350,548,855,438,179,5,233,628,8,2,463,918,0.255,0.351,0.52,0.871,136,1743,78,44,0,23,40,29.3,16.7,23.9,0.9,162,-6,1,-5,50,*39H/D,ATLOAK,olsonma02
35,Salvador Perez,34.2,2011,2024,21-34,1415,5697,5368,609,1437,915,259,11,252,834,6,1,206,1062,0.268,0.302,0.461,0.762,105,2474,168,74,0,46,30,34.2,14.6,26.1,15.3,29,-19,-18,-37,73,2D3H,KCR,perezsa02
36,Kris Bryant,27.9,2015,2024,23-32,1019,4409,3794,659,1040,610,228,19,183,538,44,20,493,1021,0.274,0.37,0.489,0.859,127,1855,58,99,0,23,21,27.9,14.3,30,-2.6,160,1,9,10,-16,579D38H/6,CHCCOLSFG,bryankr01
37,Willson Contreras,25.2,2016,2024,24-32,876,3426,2968,417,767,452,166,10,139,439,29,20,340,813,0.258,0.352,0.462,0.813,117,1370,81,97,4,17,9,25.2,14.1,22,7,86,-2,-12,-13,33,2DH73/95,CHCSTL,contrwi01
38,Fernando Tatis Jr.,19.8,2019,2024,20-25,438,1915,1703,317,475,264,90,9,112,288,84,17,183,482,0.279,0.352,0.54,0.892,142,919,33,16,1,12,8,19.8,13.8,18.2,2.4,102,2,13,14,18,698/DH4,SDP,tatisfe02
39,Ketel Marte,26,2015,2024,21-30,991,4059,3644,529,1021,642,226,41,112,433,55,16,351,635,0.28,0.345,0.457,0.802,115,1665,72,27,6,31,18,26,12.9,25.4,3.9,80,3,9,12,9,468HD/5,ARISEA,marteke01
40,Shohei Ohtani,21,2018,2024,23-29,725,2981,2578,447,716,370,140,30,176,450,91,33,363,775,0.278,0.368,0.56,0.929,150,1444,34,16,0,15,58,21,12.4,20.8,-5.8,166,12,1,12,0,*D1H/97,LAALAD,ohtansh01
41,Byron Buxton,20.9,2015,2024,21-30,690,2560,2328,369,555,282,136,22,115,306,86,10,174,756,0.238,0.298,0.464,0.762,105,1080,14,30,14,14,5,20.9,12.2,13.8,7.7,12,9,25,34,69,8DH,MIN,buxtoby01
42,Javier Báez,26.5,2014,2024,21-31,1162,4462,4170,576,1061,650,208,27,176,598,107,32,208,1243,0.254,0.296,0.444,0.74,97,1851,96,51,8,23,33,26.5,12,19.9,11.8,-15,5,18,23,69,645HD3/79,CHCDETNYM,baezja01
43,Yordan Alvarez,19,2019,2024,22-27,505,2135,1828,340,539,284,117,4,134,393,2,1,259,450,0.295,0.389,0.583,0.972,165,1066,47,32,0,16,22,19,12,18.7,-3.2,156,-4,-4,-9,3,D7H,HOU,alvaryo01
44,Kyle Tucker,19.4,2018,2024,21-27,578,2327,2052,323,559,308,128,16,107,385,87,13,236,373,0.272,0.347,0.507,0.854,134,1040,38,8,0,18,22,19.4,11.7,15.9,1.5,87,1,11,13,34,97DH/83,HOU,tuckeky01
45,Brandon Nimmo,21.4,2016,2024,23-31,780,3146,2642,434,708,450,139,30,89,296,28,17,412,696,0.268,0.38,0.444,0.824,129,1174,31,72,8,12,5,21.4,11.5,22.5,-0.8,123,4,-5,-2,-9,879H/D,NYM,nimmobr01
46,Matt Carpenter,28.8,2011,2024,25-38,1455,5627,4729,799,1228,703,322,28,175,644,28,17,759,1177,0.26,0.367,0.451,0.818,122,2131,40,72,12,52,40,28.8,11.5,31.2,-3.5,147,5,-7,-1,-18,534HD97/1,NYYSDPSTL,carpema01
47,DJ LeMahieu,31.4,2011,2023,22-34,1561,6452,5803,864,1697,1266,270,39,122,625,93,48,542,978,0.292,0.354,0.415,0.769,102,2411,172,30,36,41,24,31.4,11.2,23.7,10.4,35,-13,-2,-16,73,453HD/6,CHCCOLNYY,lemahdj01
48,Cody Bellinger,22.7,2017,2024,21-28,896,3634,3207,538,823,456,164,21,182,534,82,20,378,792,0.257,0.335,0.491,0.826,120,1575,44,16,0,32,54,22.7,11,19,2.4,75,8,8,15,39,8397H/D,CHCLAD,bellico01
49,Jeff McNeil,19.3,2018,2024,26-32,692,2765,2489,343,739,518,151,13,57,275,30,9,185,315,0.297,0.361,0.437,0.797,121,1087,31,70,8,13,6,19.3,10.4,17.1,2.5,72,10,-3,7,24,4795H/D836,NYM,mcneije01
50,Andrés Giménez,15.6,2020,2024,21-25,437,1610,1436,202,382,260,71,11,40,173,72,11,88,318,0.266,0.334,0.414,0.748,110,595,21,64,10,12,7,15.6,10.3,10.6,6.7,18,5,11,16,48,46H5/D,CLENYM,gimenan01
51,Ozzie Albies,20.9,2017,2024,20-27,787,3439,3149,511,861,510,188,30,133,469,78,19,230,585,0.273,0.326,0.479,0.805,110,1508,27,28,2,28,10,20.9,10.2,19.2,4.2,41,9,14,23,21,*4/H,ATL,albieoz01
52,Austin Riley,18.7,2019,2024,22-27,629,2666,2388,377,655,380,130,9,136,386,5,4,207,688,0.274,0.34,0.507,0.847,124,1211,52,45,0,26,11,18.7,10.2,16.3,3.4,72,-2,-3,-4,23,*573H/9D,ATL,rileyau01
53,Bo Bichette,17.8,2019,2024,21-26,548,2415,2261,340,672,441,135,6,90,319,54,18,133,497,0.297,0.338,0.482,0.82,125,1089,53,12,0,9,1,17.8,10.1,18.4,2.4,77,1,-2,-1,-5,*6D/H,TOR,bichebo01
54,José Abreu,30.5,2014,2024,27-37,1429,6165,5553,765,1577,972,327,17,261,954,11,6,431,1235,0.284,0.346,0.49,0.836,128,2721,184,125,0,56,57,30.5,9.9,32,-9.7,211,-17,-8,-25,-17,*3D/H5,CHWHOU,abreujo02
55,Max Muncy,20.6,2015,2024,24-33,870,3392,2821,511,642,327,123,8,184,503,13,4,506,841,0.228,0.35,0.473,0.823,121,1333,31,40,0,25,21,20.6,9.5,19.2,0.5,85,7,-1,6,17,534HD97,LADOAK,muncyma01
56,Brandon Crawford,29.4,2011,2024,24-37,1658,6251,5586,670,1393,913,290,44,146,744,47,34,538,1273,0.249,0.319,0.395,0.714,97,2209,121,58,7,62,75,29.4,9.5,23.9,14.2,-45,9,-2,7,54,*6H/1,SFGSTL,crawfbr01
57,Willy Adames,19.1,2018,2024,22-28,739,3012,2697,387,672,401,145,5,121,371,32,19,284,826,0.249,0.322,0.441,0.763,108,1190,51,11,4,14,9,19.1,9.3,17.2,6.1,30,2,-1,1,17,*6H4/D,MILTBR,adamewi01
58,Tommy Edman,16.9,2019,2023,24-28,596,2425,2227,343,590,397,121,19,53,222,106,17,151,399,0.265,0.319,0.408,0.726,100,908,31,30,6,11,4,16.9,9,12.4,6.3,3,8,17,25,45,46598H/7,STL,edmanto01
59,J.D. Martinez,30,2011,2023,23-35,1522,6370,5718,851,1639,935,366,23,315,1002,26,11,552,1573,0.287,0.35,0.524,0.874,133,2996,178,34,0,59,54,30,8.9,33.3,-12.4,245,-18,-19,-38,-38,D97H,ARIBOSDETHOULAD,martijd02
60,Will Smith,15.3,2019,2024,24-29,505,2053,1748,281,463,274,90,7,92,323,9,1,222,374,0.265,0.358,0.482,0.84,126,843,36,50,0,33,13,15.3,8.7,14.9,3.1,63,-1,-6,-8,4,2DH/35,LAD,smithwi05
61,Ha-Seong Kim,13.5,2021,2024,25-28,443,1608,1406,183,343,230,67,7,39,166,62,13,164,311,0.244,0.326,0.385,0.711,101,541,24,14,11,13,5,13.5,8.3,8.7,6.6,9,0,7,7,46,645H/D,SDP,kimha01
62,Kolten Wong,22,2013,2023,22-32,1189,4283,3796,511,973,670,186,31,86,405,120,38,328,687,0.256,0.33,0.39,0.719,96,1479,48,103,22,34,30,22,8.2,16.9,7.9,-21,15,14,29,51,4H/87D96,LADMILSEASTL,wongko01
63,Pete Alonso,17.6,2019,2024,24-29,705,3005,2614,418,655,337,113,7,198,509,14,2,297,669,0.251,0.341,0.526,0.867,136,1376,73,73,0,21,38,17.6,8,17.6,-3.7,127,-6,-5,-11,3,*3DH,NYM,alonspe01
64,Wander Franco,11.5,2021,2023,20-22,265,1143,1037,164,292,187,61,14,30,130,40,11,92,139,0.282,0.34,0.454,0.795,123,471,25,5,0,9,4,11.5,7.8,9.4,3.6,37,2,3,5,21,6D/5H4,TBR,francwa01
65,Julio Rodríguez,12,2022,2024,21-23,309,1366,1252,194,349,219,65,5,60,186,68,18,91,349,0.279,0.337,0.482,0.819,133,604,22,20,0,3,10,12,7.7,11.9,1.1,55,3,6,9,1,*8/DH,SEA,rodriju01
66,Ke'Bryan Hayes,13.1,2020,2024,23-27,400,1667,1521,196,403,268,88,14,33,159,40,12,129,347,0.265,0.324,0.406,0.73,102,618,38,8,0,9,3,13.1,7.7,6.5,7.6,1,0,1,1,63,*5H/D6,PIT,hayeske01
67,Bryan Reynolds,16.4,2019,2024,24-29,660,2756,2438,366,674,418,133,23,100,336,30,9,266,595,0.276,0.354,0.473,0.827,125,1153,47,36,0,15,18,16.4,7.6,17.5,-1.6,83,5,3,8,-8,*879DH,PIT,reynobr01
68,Jean Segura,26.2,2012,2023,22-33,1413,5937,5496,737,1545,1151,237,47,110,513,211,73,323,824,0.281,0.327,0.401,0.729,97,2206,143,65,28,24,25,26.2,7.3,25.4,7.3,-14,1,20,21,8,645H/D,ARILAAMIAMILPHISEA,segurje01
69,Luis Robert Jr.,12.4,2020,2024,22-26,374,1548,1431,222,398,234,86,2,76,214,47,10,82,394,0.278,0.325,0.5,0.825,125,716,26,21,0,7,7,12.4,7.3,11.2,2.2,43,2,5,7,12,8/HD,CHW,roberlu01
70,Luis Arráez,14.7,2019,2024,22-27,559,2290,2081,302,673,525,112,12,24,204,11,10,179,174,0.323,0.378,0.423,0.801,122,881,41,12,2,16,15,14.7,7.1,14.4,0.6,63,2,-2,1,2,4357DH/6,MIAMIN,arraelu01
71,Marcell Ozuna,24.5,2013,2024,22-33,1327,5524,5032,681,1358,859,233,21,245,803,28,14,445,1190,0.27,0.33,0.471,0.801,116,2368,120,20,1,25,16,24.5,6.9,23.8,-3.3,109,0,-1,-1,9,78D9H,ATLMIASTL,ozunama01
72,Nico Hoerner,12.1,2019,2024,22-27,418,1673,1511,219,423,320,70,11,22,175,71,16,119,211,0.28,0.342,0.385,0.726,98,581,34,29,1,12,8,12.1,6.9,8.4,5.7,3,3,6,9,37,46H/578D,CHC,hoernni01
73,J.P. Crawford,16.3,2017,2024,22-29,689,2875,2490,353,623,427,134,14,48,258,22,14,325,518,0.25,0.342,0.373,0.715,102,929,39,31,11,17,2,16.3,6.9,15.1,5.1,18,2,-4,-2,12,65H/4,PHISEA,crawfjp01
74,Rafael Devers,18.9,2017,2024,20-27,855,3672,3325,534,928,523,224,7,174,560,29,18,300,757,0.279,0.343,0.508,0.851,124,1688,74,32,1,14,44,18.9,6.9,24.2,-3.1,104,1,-8,-6,-54,*5HD/46,BOS,deverra01
75,Carlos Santana,34.8,2010,2024,24-38,1947,8253,6939,997,1673,987,368,17,301,1013,54,18,1219,1364,0.241,0.355,0.429,0.784,113,2978,171,35,0,60,63,34.8,6.8,34.8,-6.9,135,-3,-1,-4,2,32D5H/97,CLEKCRMILMINPHIPITSEA,santaca01
76,Brandon Lowe,13.5,2018,2024,23-29,512,2046,1792,283,438,234,89,9,106,309,25,2,213,563,0.244,0.333,0.482,0.814,125,863,19,30,0,11,4,13.5,6.7,15,-0.4,59,5,8,13,-15,4H7D9/3,TBR,lowebr01
77,Dansby Swanson,19.7,2016,2024,22-30,996,4113,3686,526,931,599,189,17,126,499,69,25,364,997,0.253,0.322,0.416,0.737,95,1532,50,25,9,29,36,19.7,6.5,16.6,8.7,-31,7,6,13,33,*6H,ATLCHC,swansda01
78,Daulton Varsho,12,2020,2024,23-27,463,1675,1509,215,346,198,72,10,66,193,43,14,139,398,0.229,0.298,0.421,0.72,98,636,18,13,4,8,3,12,6.5,6,6,-5,4,5,9,57,8792HD,ARITOR,varshda01
79,Mitch Haniger,15.5,2016,2024,25-33,645,2748,2449,381,629,372,125,11,121,364,19,6,240,671,0.257,0.33,0.465,0.795,119,1139,50,37,1,21,10,15.5,6.5,13.5,-0.1,72,-3,-4,-8,18,987DH,ARISEASFG,hanigmi01
80,Sean Murphy,12.1,2019,2024,24-29,439,1701,1472,214,352,192,91,2,67,215,1,0,175,390,0.239,0.336,0.44,0.776,117,648,48,44,0,9,2,12.1,6.4,11.4,3.1,38,-4,-1,-5,7,2DH,ATLOAK,murphse01
81,Max Kepler,19.5,2015,2024,22-31,972,3873,3413,511,801,449,184,15,153,466,34,16,391,715,0.235,0.318,0.432,0.75,103,1474,39,39,2,28,11,19.5,6.4,13.9,3.1,19,11,3,13,51,*98HD/3,MIN,keplema01
82,Adley Rutschman,10.4,2022,2024,24-26,287,1249,1070,168,289,184,68,2,35,134,5,2,163,200,0.27,0.367,0.436,0.803,129,466,19,7,0,9,6,10.4,6.4,9.7,1.8,42,0,3,3,7,2DH,BAL,rutscad01
83,Vladimir Guerrero Jr.,15.5,2019,2024,20-25,682,2942,2613,386,725,451,136,5,133,413,18,8,291,473,0.277,0.354,0.486,0.84,130,1270,94,26,0,12,19,15.5,6,16.4,-4.1,111,-6,-8,-14,-9,3D5H,TOR,guerrvl02
84,Cedric Mullins,13.3,2018,2024,23-29,567,2295,2055,292,528,331,107,17,73,239,97,27,182,457,0.257,0.323,0.432,0.755,109,888,15,25,13,16,6,13.3,5.7,12.5,2.3,21,4,8,12,7,8HD/79,BAL,mullice01
85,Ramón Laureano,12.7,2018,2024,23-29,527,2100,1866,276,455,267,109,8,71,221,60,17,158,564,0.244,0.321,0.425,0.746,108,793,33,60,1,15,0,12.7,5.7,10.7,2.2,23,5,7,12,18,89HD,CLEOAK,laurera01
86,Joey Wendle,13.3,2016,2024,26-34,658,2321,2126,268,559,380,129,18,32,220,62,19,125,432,0.263,0.312,0.386,0.698,93,820,43,39,6,25,10,13.3,5.6,8.7,7,-19,5,0,5,43,456H7/9D,MIANYMOAKTBR,wendljo01
